epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
78,78,0.3503111,0.090886325,nan,0.09105646,nan,0.26862136,0.26501176,0.0036095935,0.0007812834,0.09915621,0.01,0.962963,0.962963,0.3500629,0.08985113,nan,0.0898464,nan,0.26943997,0.26921082,0.0002291565,0.00077994674
79,79,0.35149288,0.09169242,nan,0.09150163,nan,0.26559773,0.2630051,0.002592614,0.00077994674,0.07895281,0.01,0.97530866,0.97530866,0.34526005,0.089871086,nan,0.08986368,nan,0.26107594,0.26051685,0.00055908796,0.0007785604
80,80,0.35241663,0.091700085,nan,0.09164055,nan,0.26319695,0.2601596,0.0030373195,0.0007785604,0.096148,0.01,0.9876543,0.9876543,0.35614127,0.0897773,nan,0.08980321,nan,0.26891637,0.26750728,0.0014090979,0.0007771322
81,81,0.3554345,0.09058535,nan,0.09090191,nan,0.26407203,0.2602902,0.0037818137,0.0007771322,0.10674455,0.01,1.0,1.0,0.34804967,0.08992155,nan,0.08988605,nan,0.25735244,0.25645313,0.0008993171,0.0007756902
82,82,0.35608292,0.09135843,nan,0.091221474,nan,0.2639488,0.26067084,0.0032779707,0.0007756902,0.11027639,0.01,1.0,1.0,0.34774747,0.08985992,nan,0.089867756,nan,0.2571133,0.25690216,0.00021113642,0.00077425624
83,83,0.3491451,0.09154063,nan,0.09144488,nan,0.25683022,0.2542636,0.0025666007,0.00077425624,0.12641096,0.01,1.0,1.0,0.3438287,0.089857884,nan,0.08986084,nan,0.25319803,0.25276813,0.00042990517,0.0007727952
84,84,0.34745193,0.09195371,nan,0.09180106,nan,0.25472543,0.25197527,0.002750152,0.0007727952,0.10296435,0.01,1.0,1.0,0.33969846,0.08981449,nan,0.089828394,nan,0.24911262,0.24853009,0.0005825276,0.000771349
85,85,0.35106164,0.09118381,nan,0.09136899,nan,0.2591065,0.25629205,0.002814428,0.000771349,0.1312207,0.01,1.0,1.0,0.34094244,0.089812055,nan,0.08981696,nan,0.2503605,0.25004023,0.00032024868,0.00076989166
86,86,0.35034788,0.09072081,nan,0.09091526,nan,0.2588572,0.25624332,0.0026138658,0.00076989166,0.17145059,0.01,1.0,1.0,0.33207878,0.089898646,nan,0.08987414,nan,0.24141176,0.24111034,0.00030141376,0.0007683856
87,87,0.34370607,0.09125912,nan,0.09115596,nan,0.25167856,0.24910793,0.0025706263,0.0007683856,0.09847128,0.01,1.0,1.0,0.34162697,0.089776926,nan,0.08980609,nan,0.25108317,0.2506572,0.00042596372,0.00076687365
88,88,0.3494056,0.09131347,nan,0.091266215,nan,0.25732526,0.25455722,0.0027680402,0.00076687365,0.26752385,0.01,1.0,1.0,0.34434116,0.08982103,nan,0.08981655,nan,0.25375473,0.25324935,0.00050538866,0.0007654036
89,89,0.34001908,0.09108178,nan,0.09113711,nan,0.2481719,0.245557,0.002614903,0.0007654036,0.13329959,0.01,1.0,1.0,0.3366115,0.08980984,nan,0.089811854,nan,0.2460377,0.24587475,0.00016295219,0.00076394505
90,90,0.33967936,0.09033709,nan,0.090577096,nan,0.24857832,0.24613322,0.0024450978,0.00076394505,0.22152677,0.01,1.0,1.0,0.33715996,0.08981887,nan,0.089816764,nan,0.24657868,0.24638575,0.00019293193,0.00076241704
91,91,0.33937848,0.09107562,nan,0.090926066,nan,0.24754044,0.24518792,0.0023525155,0.00076241704,0.16315417,0.01,1.0,1.0,0.34308812,0.08980664,nan,0.08980968,nan,0.25252062,0.25221792,0.00030270507,0.00076085364
92,92,0.3379308,0.091818534,nan,0.0915508,nan,0.2453514,0.24302296,0.0023284457,0.00076085364,0.19649477,0.01,1.0,1.0,0.33543938,0.08976211,nan,0.08977638,nan,0.24491799,0.24474023,0.00017776288,0.0007593036
93,93,0.33524024,0.089853406,nan,0.09036262,nan,0.24462754,0.24246824,0.002159305,0.0007593036,0.16374904,0.01,1.0,1.0,0.33315757,0.08977803,nan,0.08977754,nan,0.24262181,0.2424521,0.00016970589,0.000757722
